region_id,center_node_idx,cell_id
UPMC_c001_v001_r001_reg001,4032,4092
UPMC_c001_v001_r001_reg001,835,870
UPMC_c001_v001_r001_reg001,2061,2117
UPMC_c001_v001_r001_reg001,1520,1573
UPMC_c001_v001_r001_reg001,2128,2185
UPMC_c001_v001_r001_reg002,2031,6432
UPMC_c001_v001_r001_reg002,3907,8314
UPMC_c001_v001_r001_reg002,4517,8925
UPMC_c001_v001_r001_reg002,3792,8198
UPMC_c001_v001_r001_reg002,4747,9155
UPMC_c001_v001_r001_reg002,5035,9444
UPMC_c001_v001_r001_reg002,6118,10528
UPMC_c001_v001_r001_reg004,885,16658
UPMC_c001_v001_r001_reg004,3482,19276
UPMC_c001_v001_r001_reg004,4757,20557
UPMC_c001_v001_r001_reg004,4675,20475
UPMC_c001_v001_r001_reg004,2608,18396
UPMC_c001_v001_r001_reg004,4770,20570
UPMC_c001_v001_r001_reg004,6737,22542
UPMC_c001_v001_r001_reg005,537,23371
UPMC_c001_v001_r001_reg005,813,23649
UPMC_c001_v001_r001_reg005,3503,26377
UPMC_c001_v001_r001_reg005,804,23640
UPMC_c001_v001_r001_reg005,2903,25768
UPMC_c001_v001_r001_reg005,355,23187
UPMC_c001_v001_r001_reg006,1085,29206
UPMC_c001_v001_r001_reg006,3835,32001
UPMC_c001_v001_r001_reg006,2778,30930
UPMC_c001_v001_r001_reg006,278,28357
UPMC_c001_v001_r001_reg006,2895,31050
UPMC_c001_v001_r001_reg007,881,33261
UPMC_c001_v001_r001_reg007,1901,34335
UPMC_c001_v001_r001_reg007,3761,36281
UPMC_c001_v001_r001_reg007,765,33138
UPMC_c001_v001_r001_reg007,2942,35437
UPMC_c001_v001_r001_reg008,1027,38613
UPMC_c001_v001_r001_reg008,1276,38877
UPMC_c001_v001_r001_reg008,424,37992
UPMC_c001_v001_r001_reg008,757,38336
UPMC_c001_v001_r001_reg008,1888,39513
UPMC_c001_v001_r001_reg009,2818,45424
UPMC_c001_v001_r001_reg009,5908,48572
UPMC_c001_v001_r001_reg009,5415,48068
UPMC_c001_v001_r001_reg009,4190,46824
UPMC_c001_v001_r001_reg009,2799,45405
UPMC_c001_v001_r001_reg009,5018,47663
UPMC_c001_v001_r001_reg010,2648,51706
UPMC_c001_v001_r001_reg010,1555,50489
UPMC_c001_v001_r001_reg010,4471,53757
UPMC_c001_v001_r001_reg010,1806,50776
UPMC_c001_v001_r001_reg010,5056,54378
UPMC_c001_v001_r001_reg010,5249,54590
UPMC_c001_v001_r001_reg011,1273,56305
UPMC_c001_v001_r001_reg011,3242,58387
UPMC_c001_v001_r001_reg011,2562,57685
UPMC_c001_v001_r001_reg011,480,55423
UPMC_c001_v001_r001_reg012,6090,64584
UPMC_c001_v001_r001_reg012,3755,62209
UPMC_c001_v001_r001_reg012,2972,61415
UPMC_c001_v001_r001_reg012,6557,65059
UPMC_c001_v001_r001_reg012,6741,65250
UPMC_c001_v001_r001_reg012,2471,60911
UPMC_c001_v001_r001_reg012,2241,60680
UPMC_c001_v001_r001_reg013,732,66136
UPMC_c001_v001_r001_reg013,830,66234
UPMC_c001_v001_r001_reg014,2889,69803
UPMC_c001_v001_r001_reg014,6441,73391
UPMC_c001_v001_r001_reg014,966,67862
UPMC_c001_v001_r001_reg014,3049,69965
UPMC_c001_v001_r001_reg014,1652,68557
UPMC_c001_v001_r001_reg014,1554,68458
UPMC_c001_v001_r001_reg014,5865,72806
UPMC_c001_v001_r001_reg015,721,74216
UPMC_c001_v001_r001_reg015,2459,76250
UPMC_c001_v001_r001_reg015,2339,76122
UPMC_c001_v001_r001_reg015,545,74023
